[12/Aug/2018 13:05:44] DEBUG [CALL:32] Exiting get_shift in e_logs.common.all_journals_app.views, line 35
[12/Aug/2018 13:05:44] DEBUG [CALL:29] Call get_fields_descriptions in e_logs.common.all_journals_app.views, line 213
[12/Aug/2018 13:05:44] DEBUG [CALL:32] Exiting get_fields_descriptions in e_logs.common.all_journals_app.views, line 213
[12/Aug/2018 13:05:44] DEBUG [CALL:32] Exiting get_context in e_logs.common.all_journals_app.views, line 58
[12/Aug/2018 13:05:44] DEBUG [CALL:32] Exiting get in e_logs.common.all_journals_app.views, line 27
[12/Aug/2018 13:05:44] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:44] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:45] DEBUG [CALL:29] Call get_shifts in e_logs.common.all_journals_app.views, line 260
[12/Aug/2018 13:05:45] DEBUG [CALL:29] Call get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:05:45] DEBUG [CALL:32] Exiting get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:05:45] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:45] DEBUG [CALL:32] Exiting get_shifts in e_logs.common.all_journals_app.views, line 260
[12/Aug/2018 13:05:45] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:47] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:47] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:47] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:47] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:47] DEBUG [CALL:29] Call get in e_logs.common.all_journals_app.views, line 27
[12/Aug/2018 13:05:47] DEBUG [CALL:29] Call get_context in e_logs.common.all_journals_app.views, line 58
[12/Aug/2018 13:05:47] DEBUG [CALL:29] Call get_shift in e_logs.common.all_journals_app.views, line 35
[12/Aug/2018 13:05:47] DEBUG [CALL:32] Exiting get_shift in e_logs.common.all_journals_app.views, line 35
[12/Aug/2018 13:05:48] DEBUG [CALL:29] Call get_fields_descriptions in e_logs.common.all_journals_app.views, line 213
[12/Aug/2018 13:05:52] DEBUG [CALL:32] Exiting get_fields_descriptions in e_logs.common.all_journals_app.views, line 213
[12/Aug/2018 13:05:52] DEBUG [CALL:32] Exiting get_context in e_logs.common.all_journals_app.views, line 58
[12/Aug/2018 13:05:53] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:54] DEBUG [CALL:29] Call get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:05:55] DEBUG [CALL:32] Exiting get in e_logs.common.all_journals_app.views, line 27
[12/Aug/2018 13:05:55] DEBUG [CALL:32] Exiting get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:05:55] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:56] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:56] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:56] DEBUG [CALL:29] Call get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:05:56] DEBUG [CALL:29] Call get_shifts in e_logs.common.all_journals_app.views, line 260
[12/Aug/2018 13:05:56] DEBUG [CALL:32] Exiting get in e_logs.common.messages_app.views, line 20
